id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
169,mei,ADIRA DINAMIKA FINANCE,SKH,3,90000,tidak
170,mei,MEGA FINANCE,SKH,0,0,tidak
171,mei,BJB,SKH,0,0,tidak
172,mei,PD ANANG,LOGISTIK,9,1376800,tidak
173,mei,KELULUSAN 2020,SKH,1421,11784500,potensial
174,mei,BPJS KESEHATAN,SKH,299,2135500,potensial
175,mei,BLBI ABIYOSO,PPKH,1265,45222503,potensial
176,mei,BPKP JABAR,SKH,732,8340000,potensial
177,mei,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
178,mei,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
179,mei,BPJS KETENAGAKERJAAN,SKH,280,252500,potensial
180,mei,KPP PRATAMA SOREANG,SKH,3108,24576001,potensial
181,mei,KPP PRATAMA CIMAHI,SKH,4340,27827201,potensial
182,mei,ULTRAJAYA MILK INDUSTRY,SKH,339,11759500,potensial
183,mei,BALAI DIKLAT KEUANGAN,EXP CORPORATE,0,0,tidak
184,mei,SINAR CONTINENTAL,EXP CORPORATE,67,1250000,tidak
185,mei,FAMILY ONLINE SHOP,EXP CORPORATE,19,2345424,tidak
186,mei,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,228,305222000,potensial
187,mei,DINAS PERIJINAN BANDUNG BARAT,SKH,64,640000,tidak
188,mei,COD BUNDA JAYA,EXP CORPORATE,106,7845581,tidak
189,mei,WOM FINANCE,SKH,50,322000,tidak
190,mei,ADIRA DINAMIKA FINANCE,SKH,3,90000,tidak
191,mei,MEGA FINANCE,SKH,0,0,potensial
192,mei,BJB,SKH,0,0,tidak
193,mei,PD ANANG,LOGISTIK,9,1376800,tidak
194,mei,KELULUSAN 2020,SKH,1421,11784500,tidak
195,juni,BPJS KESEHATAN,SKH,1222,9032500,potensial
196,juni,BLBI ABIYOSO,PPKH,123,3968500,potensial
197,juni,BPKP JABAR,SKH,256,2839000,potensial
198,juni,RSUD CIBABAT,EXP CORPORATE,2,25500,tidak
199,juni,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
200,juni,BPJS KETENAGAKERJAAN,SKH,990,7214001,potensial
201,juni,KPP PRATAMA SOREANG,SKH,5028,32288002,potensial
202,juni,KPP PRATAMA CIMAHI,SKH,19343,143217001,potensial
203,juni,ULTRAJAYA MILK INDUSTRY,SKH,451,12747000,potensial
204,juni,BALAI DIKLAT KEUANGAN,EXP CORPORATE,3,30000,tidak
205,juni,SINAR CONTINENTAL,EXP CORPORATE,104,2621000,potensial
206,juni,FAMILY ONLINE SHOP,EXP CORPORATE,36,4219015,tidak
207,juni,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,285,357691500,potensial
208,juni,PERIJINAN PEMKAB BANDUNG,SKH,85,855500,tidak
209,juni,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
210,juni,WOM FINANCE,SKH,0,0,tidak
211,juni,ADIRA DINAMIKA FINANCE,SKH,7,510000,tidak
212,juni,BPKAD,SKH,15802,145852460,tidak
213,juni,BJB,SKH,0,0,tidak
214,juni,PD ANANG,LOGISTIK,18,2945404,tidak
215,juni,KELULUSAN 2020,SKH,0,0,potensial
216,juni,BPJS KESEHATAN,SKH,1222,9032500,potensial
217,juni,BLBI ABIYOSO,PPKH,123,3968500,potensial
218,juni,BPKP JABAR,SKH,256,2839000,potensial
219,juni,RSUD CIBABAT,EXP CORPORATE,2,25500,tidak
220,juni,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
221,juni,BPJS KETENAGAKERJAAN,SKH,990,7214001,potensial
222,juni,KPP PRATAMA SOREANG,SKH,5028,32288002,potensial
223,juni,KPP PRATAMA CIMAHI,SKH,19343,143217001,potensial
224,juni,ULTRAJAYA MILK INDUSTRY,SKH,451,12747000,potensial
225,juni,BALAI DIKLAT KEUANGAN,EXP CORPORATE,3,30000,tidak
226,juni,SINAR CONTINENTAL,EXP CORPORATE,104,2621000,potensial
227,juni,FAMILY ONLINE SHOP,EXP CORPORATE,36,4219015,tidak
228,juni,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,285,357691500,potensial
229,juni,PERIJINAN PEMKAB BANDUNG,SKH,85,855500,tidak
230,juni,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
231,juni,WOM FINANCE,SKH,0,0,tidak
232,juni,ADIRA DINAMIKA FINANCE,SKH,7,510000,tidak
233,juni,BPKAD,SKH,15802,145852460,tidak
234,juni,BJB,SKH,0,0,tidak
235,juni,PD ANANG,LOGISTIK,18,2945404,tidak
236,juni,KELULUSAN 2020,SKH,0,0,potensial
237,juli,BPJS KESEHATAN,SKH,626,4397000,potensial
238,juli,BLBI ABIYOSO,PPKH,1063,28928500,potensial
239,juli,BPKP JABAR,SKH,226,3115024,potensial
240,juli,RSUD CIBABAT,EXP CORPORATE,5,98500,tidak
241,juli,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
242,juli,BPJS KETENAGAKERJAAN,SKH,636,4774000,tidak
243,juli,KPP PRATAMA SOREANG,SKH,10960,58004500,potensial
244,juli,KPP PRATAMA CIMAHI,SKH,16227,115412503,potensial
245,juli,ULTRAJAYA MILK INDUSTRY,SKH,468,12438700,potensial
246,juli,BALAI DIKLAT KEUANGAN,EXP CORPORATE,1,15500,tidak
247,juli,SINAR CONTINENTAL,EXP CORPORATE,101,2419500,potensial
248,juli,FAMILY ONLINE SHOP,EXP CORPORATE,31,3537699,potensial
249,juli,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,325,415857500,potensial
